Program;Length;WS;AS I;AS II;Test;Substitution
>[<+]oo;7;[('101', ''), ('1', ''), ('001', '')];[('1', ''), ('', '')];[('001', ''), ('010', ''), ('011', '')];[('100', ''), ('101', ''), ('110', ''), ('111', ''), ('00001', '')];0
[>[<+]o];8;[('0110', ''), ('100', '')];[('0111', ''), ('111', '')];[('1000', ''), ('100', ''), ('1001', '')];[('', ''), ('101', ''), ('10', ''), ('10111', ''), ('11000', '')];0
>[+[o-]];8;[('10010', '10')];[('011', ''), ('01011', '')];[('01', ''), ('100', '10'), ('1011', '10')];[('101', '10'), ('', ''), ('01100', ''), ('01101', ''), ('1', '')];0
-[>+[o-<-]];11;[('1001', '1'), ('01', '')];[('1', '0'), ('10000', '1')];[('00', ''), ('01', ''), ('10001', '1')];[('0000', ''), ('0001', ''), ('10', '1'), ('000', ''), ('001', '')];0
>+[-[o+]<-];11;[('101', '0101')];[('1111', ''), ('111', '')];[('1011', '0101'), ('1100', ''), ('01111', '')];[('1', '01'), ('1101', ''), ('011', ''), ('10000', '0101'), ('10001', '0101')];0
>+[+<-o[>]<];12;[('1010', '010')];[('0011', ''), ('1', '0')];[('10011', '010'), ('011', ''), ('00', '')];[('10100', '010'), ('10', '010'), ('01', ''), ('100', '010'), ('10101', '010')];0
>-[+[->]<+o];12;[('10010', ''), ('10', '')];[('010', '011101'), ('011', '11101')];[('0', '101'), ('10010', ''), ('11', '1')];[('0010', ''), ('10011', ''), ('10100', ''), ('0011', ''), ('0100', '01011101')];0
>-[+[o-]<+];11;[('00011', ''), ('10', '')];[('0', '10'), ('0111', '1010')];[('01', '1010'), ('11', '10'), ('00111', '')];[('01000', '1010'), ('01001', '1010'), ('111', '10'), ('01010', '1010'), ('1000', '')];0
+[>-[o+<+]];11;[('00011', ''), ('11', '')];[('010', '0'), ('0010', '')];[('10010', ''), ('0011', ''), ('0', '1')];[('11', ''), ('01', '0'), ('0100', '0'), ('0101', '0'), ('10011', '')];0
+[>+oo<+];9;[('11110', ''), ('11', '')];[('010', ''), ('0010', '11')];[('0', '00'), ('0011', '11'), ('11', '')];[('011', ''), ('100', ''), ('0100', ''), ('00', '11'), ('101', '')];0
+[>+[o+o<]];11;[('11000', ''), ('10', '')];[('0', '011'), ('00', '1')];[('0111', ''), ('00111', '1'), ('1000', '')];[('01000', ''), ('1001', ''), ('01001', ''), ('11', ''), ('1010', '')];0
+[>+o<+oo];10;[('0100', ''), ('101', '')];[('01111', ''), ('10000', '')];[('1111', ''), ('0', '0'), ('00', '1')];[('10001', ''), ('1100', ''), ('11', ''), ('111', ''), ('10010', '')];0
>+<+[+[o-]>];12;[('10', ''), ('0', '10'), ('00', '')];[('0', '10'), ('000', '10')];[('001', ''), ('010', ''), ('00', '')];[('011', ''), ('0000', '1010'), ('100', ''), ('0001', '10'), ('10', '')];0
>+[-[o<]];9;[('', ''), ('1111', ''), ('111', '')];[('011', ''), ('100', '01')];[('', ''), ('1011', '01'), ('0', '')];[('01011', ''), ('01100', ''), ('01101', ''), ('01110', ''), ('101', '01')];0
+[>]<o+<-o;10;[('11000', ''), ('11', '')];[('0', '11'), ('01111', '10')];[('10000', ''), ('10001', ''), ('10010', '')];[('10', ''), ('1111', ''), ('10011', ''), ('111', ''), ('11', '')];0
>-[<+]o>>o;10;[('1000', ''), ('', ''), ('0', ''), ('01', '')];[('00101', ''), ('0', '')];[('00110', ''), ('101', ''), ('00111', '')];[('110', ''), ('111', ''), ('0101', ''), ('0110', ''), ('0111', '')];0
>-<+[o>];8;[('111', ''), ('10', ''), ('11', '')];[('0', '11'), ('1111', '')];[('00', '1'), ('11111', ''), ('11000', '')];[('111', ''), ('1000', ''), ('000', '1'), ('1001', ''), ('11001', '')];0
+[+[o-]]>oo;11;[('0110', '11'), ('0', '')];[('0', ''), ('0000', '00')];[('01', '11'), ('10', '00'), ('000', '00')];[('001', '00'), ('11', '11'), ('0001', '00'), ('010', '11'), ('0010', '00')];0
+[>-o>+o>];10;[('110', ''), ('1111', '')];[('0', '10'), ('1110', '')];[('11', ''), ('11110', ''), ('1111', '')];[('0000', ''), ('11111', ''), ('110', ''), ('00000', ''), ('00', '')];0
+[>[o<]-<];10;[('11', ''), ('101', ''), ('10', '')];[('11100', ''), ('0', '11')];[('100', ''), ('1100', ''), ('01', '11')];[('1101', ''), ('10', ''), ('1110', ''), ('11', ''), ('11101', '')];0
+[>-o<o<];9;[('111', ''), ('1000', '')];[('0101', '01'), ('0', '11')];[('0110', '01'), ('10', ''), ('0111', '01')];[('101', ''), ('110', ''), ('111', ''), ('011', '01'), ('001', '')];0
[>]<-<oo;8;[('', ''), ('1100', '00'), ('0', '')];[('0', ''), ('01', '00')];[('0000', '00'), ('10', '11'), ('0001', '00')];[('0010', '11'), ('000', '00'), ('00000', '00'), ('11', '11'), ('0011', '11')];0
+[>-oo>];8;[('10100', ''), ('11', '')];[('010', '0011'), ('0', '11')];[('11010', ''), ('1010', ''), ('1011', '')];[('11', ''), ('1100', ''), ('1101', ''), ('1110', ''), ('1111', '')];0
[>]<-<o>-o;10;[('', ''), ('1110', '11'), ('0', '')];[('0', ''), ('11101', '0')];[('1101', '0'), ('1110', '11'), ('101', '0')];[('110', '11'), ('111', '1'), ('11110', '11'), ('11111', '1'), ('10', '11')];0
+[>-o>-o>];10;[('1111', ''), ('0', '11')];[('00111', ''), ('0', '11')];[('00', ''), ('0111', '0011'), ('01000', '0')];[('01001', '0'), ('01010', '0'), ('01011', '0'), ('01100', '00'), ('01101', '0001')];0
>+[<]>+o>-o;11;[('11110', ''), ('10', '')];[('0', '1'), ('000', '10')];[('00000', '10'), ('00', '10'), ('01', '01')];[('00001', '10'), ('00010', '10'), ('10', ''), ('00011', '10'), ('001', '10')];0
+[>>-o<<<+];11;[('11100', ''), ('10', '')];[('1011', ''), ('011', '00')];[('11011', ''), ('0', '11'), ('11100', '')];[('100', ''), ('101', ''), ('110', ''), ('11', ''), ('11101', '')];0
>+[>+o<<o];10;[('0010', ''), ('010', '')];[('1011', ''), ('11011', '')];[('011', ''), ('11100', ''), ('11', '')];[('11101', ''), ('1100', ''), ('1', '011'), ('1101', ''), ('100', '11')];0
>+[>+o<-];9;[('0111', ''), ('110', '')];[('0', '0'), ('10', '01')];[('11', ''), ('10000', '1'), ('10001', '1')];[('0000', '1'), ('000', '1'), ('1', '0'), ('001', ''), ('0001', '1')];0
+[>>+o-<];9;[('10011', ''), ('0', '0')];[('0', '0'), ('1', '')];[('000', '100'), ('11000', ''), ('01', '00')];[('001', ''), ('11', ''), ('010', '100'), ('011', ''), ('1000', '')];0
+>[-o>]<o;9;[('0', '1'), ('00011', '')];[('11', '00'), ('0101', '0')];[('101', ''), ('1', ''), ('0110', '00')];[('10', ''), ('110', '0'), ('111', '000'), ('001', ''), ('010', '0')];0
+[>]<o<o;8;[('111', ''), ('01', '11')];[('0111', '11'), ('0', '1')];[('10111', ''), ('11000', ''), ('11001', '')];[('11010', ''), ('1000', ''), ('11011', ''), ('100', ''), ('11', '')];0
>+[>+o<+<];10;[('10100', ''), ('0', '0')];[('10100', ''), ('10101', '')];[('0', '0'), ('0100', ''), ('00', '00')];[('01', ''), ('1', '0'), ('100', '10'), ('101', ''), ('110', '')];0
>-[<-o<]<oo;11;[('1111', '0'), ('1', '0')];[('0011', '00'), ('0100', '')];[('1', '0'), ('0', ''), ('011', '')];[('0101', ''), ('100', '11'), ('00011', '00'), ('00100', '00'), ('0110', '')];0
>+[+[>]<o];10;[('11', ''), ('01100', '')];[('110', ''), ('11110', '')];[('10', '1'), ('11', ''), ('111', '')];[('0', '101'), ('010', ''), ('1', '11'), ('1110', ''), ('1111', '')];0
>+[>-o<<];9;[('0', '1'), ('001', '00')];[('1011', '00'), ('11', '')];[('011', ''), ('1100', ''), ('1101', '')];[('10', '10'), ('01011', ''), ('100', ''), ('1110', ''), ('1', '1')];0
>[+oo]<-o;9;[('010', ''), ('1110', '')];[('01100', ''), ('100', '11')];[('0', ''), ('1100', ''), ('101', '11')];[('01101', ''), ('01110', ''), ('1101', ''), ('1', '0'), ('110', '')];0
>[<+]>-o>o;10;[('01011', ''), ('0', '1')];[('0111', ''), ('11', '0')];[('10111', ''), ('1000', ''), ('1001', '')];[('11000', '00'), ('11001', '00'), ('1010', ''), ('11010', '00'), ('01', '')];0
[+oo]>-o;8;[('110', ''), ('01', '11')];[('1101', ''), ('101', '')];[('110', ''), ('11101', ''), ('111', '')];[('11', ''), ('11110', ''), ('1', ''), ('011', '11'), ('001', '11')];0
+>[<o+]-o;9;[('000', '11'), ('0', '1')];[('11', ''), ('1', '1')];[('0', '1'), ('001', '11'), ('010', '11')];[('011', '11'), ('0001', '11'), ('100', ''), ('10001', ''), ('10010', '')];0
+[<-[>-]<o];11;[('111', ''), ('100', ''), ('1', '')];[('01100', '000'), ('1100', '')];[('01', 'TIMEOUT'), ('01101', '000'), ('1101', '')];[('01110', '001'), ('100', ''), ('10', ''), ('101', ''), ('110', '')];0
->[+o>]<o;9;[('100', '111'), ('0', '')];[('111', ''), ('0111', '')];[('1000', '1111'), ('11', ''), ('1001', '11')];[('00', '11'), ('1010', '1'), ('010', ''), ('00111', '1'), ('01000', '')];0
>-[-oo];7;[('1000', ''), ('010', '')];[('10', ''), ('1', '00')];[('', '00'), ('0010', ''), ('010', '')];[('0011', ''), ('0100', ''), ('011', ''), ('11', ''), ('10010', '')];0
>-[-[o+]];9;[('110', ''), ('1100', '')];[('111', ''), ('0111', '')];[('1000', ''), ('11', ''), ('110', '')];[('1001', ''), ('011', ''), ('1', '01'), ('1010', ''), ('', '01')];0
>+[+[o<]];9;[('1100', ''), ('', '1'), ('10', '')];[('00101', ''), ('0101', '')];[('0110', ''), ('', '1'), ('101', '')];[('0111', ''), ('11', ''), ('1000', ''), ('00110', ''), ('00111', '')];0
>+[+oo];7;[('1110', ''), ('111', '')];[('10', ''), ('', '11')];[('11', ''), ('010', ''), ('1010', '')];[('01010', ''), ('1', '11'), ('01011', ''), ('1011', ''), ('01100', '')];0
->-[-o<o];9;[('1101', ''), ('1', '00')];[('10101', ''), ('1', '00')];[('101', ''), ('0', '0'), ('11', '')];[('110', ''), ('0101', ''), ('0110', ''), ('0111', ''), ('10110', '')];0
>+[+[o-]];9;[('1000', ''), ('001', '')];[('01101', ''), ('', '10')];[('10', ''), ('0', '10'), ('01', '')];[('1101', ''), ('1110', ''), ('01110', ''), ('101', ''), ('1111', '')];0
>-[<+]o>o;9;[('10100', ''), ('1', ''), ('0', '')];[('010', ''), ('11010', '')];[('11', ''), ('011', ''), ('1', '')];[('11011', ''), ('11100', ''), ('1010', ''), ('01', ''), ('1011', '')];0
>-[<<+o>]>o;11;[('0110', '0'), ('1', '0')];[('10', ''), ('01001', '0')];[('11', '0'), ('001', '1'), ('010', '0')];[('011', '0'), ('100', '0'), ('01010', '0'), ('1', '0'), ('101', '1')];0
>-[>+o<-];9;[('0011', ''), ('011', '')];[('1011', ''), ('11011', '1')];[('1100', '1'), ('1101', '1'), ('1110', '')];[('11100', ''), ('011', ''), ('11', '0'), ('1', '01'), ('100', '')];0
>-[<<>+o-]>o;12;[('11', ''), ('101', '1'), ('1', '')];[('110', ''), ('0110', '1')];[('0111', '1'), ('10110', '1'), ('11', '')];[('1', ''), ('1000', '0'), ('1001', '0'), ('1010', '1'), ('1011', '1')];0
>-[<]+>[o<];11;[('11110', '10')];[('1', '10'), ('01', '00')];[('11000', '10'), ('11001', '10'), ('000', '000')];[('10', ''), ('11', '10'), ('11010', '10'), ('1000', '001'), ('001', '100')];0
>-[<-[o<]+o];12;[('1', '00'), ('0011', '')];[('0011', ''), ('0100', '01')];[('1', '00'), ('01', '01'), ('0101', '01')];[('0110', '01'), ('11', '00'), ('10011', ''), ('0111', '01'), ('011', '01')];0
>-[<]>oo;8;[('11', '11'), ('1', '11')];[('10', ''), ('001', '11')];[('11', '11'), ('00001', '00'), ('01', '00')];[('010', '00'), ('0001', '00'), ('1', '11'), ('0010', '11'), ('00010', '00')];0
>-[<[o>]->];11;[('01', '00'), ('1', '11')];[('111', '101'), ('0111', '0011')];[('00111', ''), ('1', '11'), ('11', '10')];[('010', '000'), ('1000', ''), ('1001', ''), ('011', '001'), ('100', '')];0
+>+[<o];7;[('1101', ''), ('11', '')];[('1011', ''), ('', '0')];[('1100', ''), ('01011', ''), ('01100', '')];[('11', ''), ('01101', ''), ('1101', ''), ('1110', ''), ('01110', '')];0
+>+[+o<o];9;[('00000', ''), ('00', '')];[('00100', ''), ('00', '')];[('0100', ''), ('0', '11'), ('11', '')];[('1', '1'), ('0101', ''), ('100', ''), ('00101', ''), ('0110', '')];0
>-[-o>]<o;9;[('0010', '0'), ('11', '')];[('101', '1'), ('110', '')];[('11', ''), ('10101', '1'), ('0101', '')];[('10', '1'), ('111', ''), ('10110', '1'), ('0110', ''), ('010', '')];0
>+[>+o<+];9;[('0111', ''), ('111', '')];[('11', ''), ('10001', '1')];[('10010', '1'), ('10011', '1'), ('10100', '')];[('1', '01'), ('0', '01'), ('001', ''), ('10', '0'), ('0001', '1')];0
>+o[<-]>o;9;[('1111', ''), ('110', '')];[('1011', '1'), ('11011', '')];[('00', '11'), ('1100', ''), ('1101', '')];[('1', '0'), ('11100', ''), ('11', ''), ('1110', ''), ('11101', '')];0
[>]<+o<+<o;10;[('111', ''), ('', '0'), ('1', ''), ('11', '')];[('0111', ''), ('1', '')];[('1000', '10'), ('1001', ''), ('00111', '')];[('111', ''), ('1010', '10'), ('1011', ''), ('01000', '10'), ('10', '1')];0
->+[<-o];8;[('101', ''), ('1011', '')];[('10100', ''), ('100', '')];[('00', '11'), ('1', ''), ('10101', '')];[('10110', ''), ('10', ''), ('11', ''), ('101', ''), ('110', '')];0
>+[[<]>>-o];11;[('1', ''), ('0', ''), ('0000', '0')];[('010', ''), ('011', '')];[('10', '0'), ('11', ''), ('100', '0')];[('101', '0'), ('1010', '0'), ('1011', '0'), ('0', ''), ('11010', '')];0
-[o<+]>+oo;10;[('11', '00'), ('1', '00')];[('10', '00'), ('001', '11')];[('11', '00'), ('00', '11'), ('1', '00')];[('0001', '11'), ('0010', '11'), ('0011', '11'), ('0100', ''), ('0101', '')];0
>+[<-[o<]+o];12;[('00100', '01')];[('1', '00'), ('00000', '01')];[('00', '01'), ('000', '01'), ('10', '00')];[('11', ''), ('0000', '01'), ('001', '01'), ('0001', '01'), ('010', '')];0
>+[>-o<+];9;[('0110', ''), ('00', '1')];[('00100', '0'), ('0100', '')];[('0101', ''), ('00101', '0'), ('0110', '')];[('0111', ''), ('1', '10'), ('00', '1'), ('00110', '0'), ('1000', '')];0
>-[<-o]+<o;10;[('0110', ''), ('1', '01')];[('10110', '1'), ('10', '1')];[('0110', ''), ('110', '01'), ('10111', '1')];[('111', '01'), ('11', '01'), ('0111', ''), ('1000', '1'), ('1001', '1')];0
>+[<-]>oo;9;[('00110', '11')];[('10', ''), ('101', '')];[('1', ''), ('110', '00'), ('111', '11')];[('1101', '00'), ('11101', '11'), ('1110', '11'), ('11', ''), ('1111', '11')];0
>+[<[o<]-o];11;[('00110', '01')];[('1', '11'), ('101', '11')];[('0101', ''), ('110', ''), ('0110', '')];[('0111', ''), ('10', '11'), ('111', ''), ('00101', '01'), ('000', '01')];0
>+[+o[<]]>o;11;[('10', ''), ('10111', '')];[('10', ''), ('1', '11')];[('001', ''), ('010', '0'), ('11', '')];[('0001', ''), ('011', '1'), ('100', ''), ('101', ''), ('110', '0')];0
>-[-[o<]];9;[('000', ''), ('011', ''), ('', '0')];[('', '0'), ('000', '')];[('0', '00'), ('00', ''), ('01', '')];[('001', ''), ('010', ''), ('011', ''), ('100', ''), ('1000', '')];0
>-[-o[<]]>o;11;[('0', '00'), ('1111', '')];[('0', '00'), ('01', '')];[('10', ''), ('11', ''), ('1000', '0')];[('000', '0'), ('001', '1'), ('010', ''), ('011', ''), ('01000', '')];0
>-[<[o<]+o];11;[('001', ''), ('1000', '')];[('01100', '00'), ('1100', '10')];[('01', '00'), ('01101', '00'), ('0', '00')];[('01110', '00'), ('10', ''), ('1101', '10'), ('01111', '00'), ('100', '')];0
>-[<+]>oo;9;[('', ''), ('0001', '00'), ('0', '')];[('0110', ''), ('11', '00')];[('00110', '11'), ('0111', ''), ('110', '00')];[('00111', '11'), ('01', ''), ('111', '00'), ('01000', ''), ('0', '')];0
+o>-[<-]>o;10;[('01000', '1'), ('1', '')];[('010', '1'), ('1', '')];[('1010', ''), ('11', ''), ('1011', '')];[('011', '1'), ('1100', ''), ('01010', '1'), ('100', ''), ('1101', '')];0
>-[<+[o<]-o];12;[('0', '11'), ('0010', '')];[('0011', ''), ('01', '11')];[('0100', '11'), ('10011', ''), ('011', '11')];[('10100', ''), ('10101', ''), ('11', '10'), ('0101', '11'), ('100', '')];0
+[o<-]>-oo;10;[('11', '00'), ('0', '11')];[('010', '11'), ('0', '11')];[('1010', ''), ('011', '11'), ('1011', '')];[('11', '00'), ('11010', '00'), ('11011', '00'), ('100', ''), ('1100', '00')];0
+[[>]<<-o];10;[('000', ''), ('101', ''), ('1', '')];[('01100', ''), ('0', '10')];[('100', ''), ('1100', ''), ('1101', '')];[('1', ''), ('1110', ''), ('01', '0'), ('101', ''), ('11', '')];0
>-[<]>o<<+o;11;[('01', '0'), ('00', ''), ('0', '0')];[('11', '1'), ('110', '1')];[('1', '1'), ('111', '1'), ('1110', '1')];[('1111', '1'), ('00', ''), ('001', '11'), ('1001', '0'), ('010', '0')];0
[>]<-o<-<o;10;[('00000', ''), ('', '1'), ('0', '')];[('0011', '00'), ('0', '')];[('0100', ''), ('011', '00'), ('100', '')];[('10011', '00'), ('101', '01'), ('110', ''), ('10100', ''), ('0101', '01')];0
>-o[<+]>o;9;[('', '1'), ('0', '1'), ('1011', '')];[('0011', ''), ('0', '1')];[('011', '0'), ('100', ''), ('11', '00')];[('00011', ''), ('00100', ''), ('0100', '0'), ('00101', ''), ('10', '')];0
-[>-oo>]>o;10;[('110', '0011')];[('00100', '0'), ('0100', '1')];[('100', ''), ('0101', '1'), ('0110', '1')];[('101', ''), ('00101', '0'), ('0111', '1'), ('110', '0011'), ('0', '')];0
[+o]>-oo;8;[('1', ''), ('11', ''), ('010', '1')];[('01100', '1'), ('01', '1')];[('1100', ''), ('11', ''), ('0', '1')];[('100', ''), ('1101', ''), ('101', ''), ('1', ''), ('110', '')];0
>+[>+o-<+];10;[('10101', ''), ('01', '')];[('1111', ''), ('01', '')];[('1', '00'), ('00', '0'), ('0101', '')];[('01111', ''), ('10000', '1'), ('0110', ''), ('10001', '1'), ('10010', '1')];0
>+[<[o>]+>];11;[('00', '01'), ('0', '00')];[('10', '11'), ('11', '')];[('10001', '11001'), ('0001', '0101'), ('10010', '11010')];[('0', '00'), ('0010', '0110'), ('001', '011'), ('010', ''), ('011', '')];0
>+[<]>oo;8;[('01111', '11')];[('101', '11'), ('0101', '00')];[('10', '11'), ('0110', '11'), ('0', '00')];[('0111', '11'), ('110', '00'), ('111', '11'), ('010', '00'), ('1000', '11')];0
[>]<+o<+o;9;[('1110', '1'), ('1', ''), ('', '0')];[('010', '1'), ('01010', '1')];[('10', '1'), ('1010', '1'), ('1', '')];[('1011', ''), ('01011', ''), ('01100', '11'), ('1100', '11'), ('1101', '')];0
>+[<+[o<]-o];12;[('10', '10'), ('0', '11')];[('010', ''), ('011', '')];[('01010', ''), ('1010', '10'), ('100', '10')];[('11', ''), ('00', '11'), ('101', '10'), ('110', ''), ('01011', '')];0
>+[<]->[o<];11;[('100', '11'), ('01', '')];[('110', '011'), ('111', '111')];[('01110', '110'), ('01111', '110'), ('10', '11')];[('0', '01'), ('00', '01'), ('10000', '11'), ('1110', '111'), ('1111', '111')];0
>+[<[o>]->];11;[('01101', ''), ('01', '')];[('11100', ''), ('1', '10')];[('00', '01'), ('11101', ''), ('01', '')];[('100', '110'), ('101', '111'), ('10', '11'), ('110', ''), ('11110', '')];0
[>]+<+<+o>o;11;[('1111', ''), ('011', '')];[('10101', '1'), ('0101', '1')];[('0110', ''), ('10110', ''), ('1', '0')];[('101', '1'), ('110', ''), ('01', '1'), ('111', ''), ('0111', '')];0
>+[<<>-o+]>o;12;[('11110', '1'), ('0', '')];[('10101', '0'), ('101', '0')];[('0', ''), ('0101', '0'), ('0110', '1')];[('01', ''), ('10110', '0'), ('10111', '0'), ('11000', '0'), ('0111', '1')];0
>+[<<-o>]>o;11;[('0', '1'), ('1', '1'), ('10', '1')];[('01100', '1'), ('00', '1')];[('100', '1'), ('101', '1'), ('0', '1')];[('10', '1'), ('1100', '0'), ('11', ''), ('1101', '0'), ('1110', '1')];0
>+[<[<-]-o];11;[('10001', ''), ('1', ''), ('0', '')];[('010', ''), ('01', '')];[('0010', ''), ('0011', ''), ('10010', '')];[('011', ''), ('0100', ''), ('10011', ''), ('10100', ''), ('0101', '')];0
+[<-o]>+o;9;[('', '1'), ('1010', '1')];[('00', '1'), ('01', '1')];[('10', '1'), ('0000', '1'), ('10000', '1')];[('000', '1'), ('10001', '1'), ('001', '1'), ('10010', '1'), ('11', '')];0
+[<]>+oo;8;[('00', ''), ('1100', ''), ('0', '')];[('00100', ''), ('0', '')];[('00', ''), ('01', ''), ('10', '11')];[('100', '11'), ('101', '11'), ('110', ''), ('00101', ''), ('00110', '')];0
>+[<-]o>o;9;[('0101', ''), ('', ''), ('001', '')];[('0', ''), ('00000', '')];[('00', ''), ('0000', ''), ('10', '')];[('11', ''), ('000', ''), ('001', ''), ('010', ''), ('00001', '')];0
-[<-]-o;7;[('10', ''), ('', ''), ('01', '1')];[('00', '1'), ('1000', '')];[('1001', ''), ('000', '1'), ('1010', '')];[('01', '1'), ('1011', ''), ('001', '1'), ('1100', ''), ('10', '')];0
>-[<-]>o;8;[('0000', '0'), ('', ''), ('1', '')];[('11101', ''), ('', '')];[('101', '1'), ('11110', ''), ('110', '')];[('11111', ''), ('00110', '1'), ('00111', '1'), ('111', ''), ('1101', '')];0
>+[<+]>o;8;[('11011', '0')];[('010', '0'), ('1010', '1')];[('1011', '1'), ('11', ''), ('00', '')];[('011', '1'), ('11010', '0'), ('100', '1'), ('', ''), ('1100', '0')];0
->-[<o];7;[('00', ''), ('0101', '')];[('01', ''), ('00001', '')];[('001', ''), ('00010', ''), ('10', '')];[('00011', ''), ('', '1'), ('11', '0'), ('010', ''), ('0001', '')];0
+[>+o>];7;[('011', ''), ('110', '')];[('010', ''), ('11', '')];[('', '0'), ('011', ''), ('0010', '11')];[('0011', '1'), ('100', ''), ('01', ''), ('101', ''), ('00010', '1')];0
>+<+[>]<o;9;[('1000', ''), ('11', '')];[('', '0'), ('11', '')];[('10110', ''), ('0110', '1'), ('10111', '')];[('0111', '1'), ('11000', ''), ('1000', ''), ('1001', ''), ('1010', '')];0
+[>+[+<]+o];11;[('01', '00'), ('11', '')];[('0010', '0'), ('00010', '0')];[('0011', '0'), ('010', '00'), ('10', '')];[('11', ''), ('00011', '0'), ('011', '000'), ('00', '0'), ('0100', '00')];0
+[>>+o[<+]o];12;[('', '0'), ('101', ''), ('11', '')];[('11011', ''), ('11', '')];[('11100', ''), ('011', ''), ('100', '')];[('1011', ''), ('1100', ''), ('11101', ''), ('101', ''), ('1101', '')];0
+[>+o-<+o];10;[('0111', ''), ('11', '')];[('1010', ''), ('010', '')];[('11010', ''), ('011', ''), ('11011', '')];[('100', ''), ('1011', ''), ('11100', ''), ('101', ''), ('1100', '')];0
+[+[o>]+o<];11;[('00000', '0')];[('0010', '0'), ('0011', '0')];[('010', '0'), ('011', '0'), ('10', '')];[('100', ''), ('11', ''), ('0100', '0'), ('0101', '0'), ('101', '')];0
+[+[o<+]+o<];12;[('01011', '0')];[('11111', ''), ('111', '')];[('01101', '0'), ('101', ''), ('11', '')];[('1111', ''), ('110', ''), ('01', '0'), ('01110', '0'), ('01111', '0')];0
+[+[<+]+o>o];12;[('101', ''), ('110', '')];[('01011', '0100'), ('01100', '010100')];[('011', '01010'), ('01101', '010100'), ('1011', '')];[('01110', '01010100'), ('100', ''), ('01111', '010101010'), ('101', ''), ('11', '')];0
+[+>+[<]>o>];12;[('11', ''), ('1001', '')];[('01011', '0'), ('011', '1')];[('100', ''), ('11', ''), ('01', '')];[('01100', '11'), ('101', ''), ('1011', ''), ('110', ''), ('10', '')];0
